Id,Character,Decimal,Character,Hex
0,ሀ,4608,ሀ,1200
1,ሁ,4609,ሁ,1201
2,ሂ,4610,ሂ,1202
3,ሃ,4611,ሃ,1203
4,ሄ,4612,ሄ,1204
5,ህ,4613,ህ,1205
6,ሆ,4614,ሆ,1206
7,ለ,4616,ለ,1208
8,ሉ,4617,ሉ,1209
9,ሊ,4618,ሊ,120A
10,ላ,4619,ላ,120B
11,ሌ,4620,ሌ,120C
12,ል,4621,ል,120D
13,ሎ,4622,ሎ,120E
14,ሐ,4624,ሐ,1210
15,ሑ,4625,ሑ,1211
16,ሒ,4626,ሒ,1212
17,ሓ,4627,ሓ,1213
18,ሔ,4628,ሔ,1214
19,ሕ,4629,ሕ,1215
20,ሖ,4630,ሖ,1216
21,መ,4632,መ,1218
22,ሙ,4633,ሙ,1219
23,ሚ,4634,ሚ,121A
24,ማ,4635,ማ,121B
25,ሜ,4636,ሜ,121C
26,ም,4637,ም,121D
27,ሞ,4638,ሞ,121E
28,ሠ,4640,ሠ,1220
29,ሡ,4641,ሡ,1221
30,ሢ,4642,ሢ,1222
31,ሣ,4643,ሣ,1223
32,ሤ,4644,ሤ,1224
33,ሥ,4645,ሥ,1225
34,ሦ,4646,ሦ,1226
35,ረ,4648,ረ,1228
36,ሩ,4649,ሩ,1229
37,ሪ,4650,ሪ,122A
38,ራ,4651,ራ,122B
39,ሬ,4652,ሬ,122C
40,ር,4653,ር,122D
41,ሮ,4654,ሮ,122E
42,ሰ,4656,ሰ,1230
43,ሱ,4657,ሱ,1231
44,ሲ,4658,ሲ,1232
45,ሳ,4659,ሳ,1233
46,ሴ,4660,ሴ,1234
47,ስ,4661,ስ,1235
48,ሶ,4662,ሶ,1236
49,ሸ,4664,ሸ,1238
50,ሹ,4665,ሹ,1239
51,ሺ,4666,ሺ,123A
52,ሻ,4667,ሻ,123B
53,ሼ,4668,ሼ,123C
54,ሽ,4669,ሽ,123D
55,ሾ,4670,ሾ,123E
56,ቀ,4672,ቀ,1240
57,ቁ,4673,ቁ,1241
58,ቂ,4674,ቂ,1242
59,ቃ,4675,ቃ,1243
60,ቄ,4676,ቄ,1244
61,ቅ,4677,ቅ,1245
62,ቆ,4678,ቆ,1246
63,በ,4704,በ,1260
64,ቡ,4705,ቡ,1261
65,ቢ,4706,ቢ,1262
66,ባ,4707,ባ,1263
